cid,name,address,architect,artists,built,caption,clergy,consecrated,dedication,denomination,englishname,fax,image,national,phone,titular,type,url
4627,"Immacolata Concezione di Nostra Signora di Lourdes a Via Sistina","Via Sistina 113",,,"19th century",,,,"Blessed Virgin Mary","Roman Catholic","Immaculate Conception of Our Lady of Lourdes on the Sistine Way",,,,,,,
3267,"Incarnazione del Verbo Divino","Via XX Settembre",,,"17th century",,,,"Jesus Christ","Roman Catholic","Incarnation of the Divine Word",,,,,,Demolished,
2039,"La Maddalena","Piazza della Maddalena 53br> 00186 Roma","Carlo Fontana, G.C. Quadrio","Aureliano Milani","1669 to 1698",,"Priests, Ministers of the Sick (Camillans)",,"Mary Magdalene","Roman Catholic","The Magdalene",,,,"06 89 92 81",,"National church",
3138,"L’Annunziatella","Via di Grotta Perfetta 591",,,1220,,,,"Blessed Virgin Mary (Annunciation)","Roman Catholic","Little Annunciation",,,,,,,
3579,"Madonna dei Lumi","Via Chirone 27",,,"20th century",,,,"Blessed Virgin Mary","Roman Catholic","Our Lady of Lights",,,,,,,
3580,"Madonna del Buon Consiglio a Tor di Mezza Via","Via Appia Nuova 1267",,,"16th century",,,,"Blessed Virgin Mary (Our Lady of Good Counsel)","Roman Catholic","Our Lady of Good Counsel at the Middle Way Tower",,,,,,,
4796,"Madonna del Buon Consiglio delle Suore Serve di Maria Addolorata","Via Giacomo Corradi 15",,,"20th century",,,,"Blessed Virgin Mary","Roman Catholic","Our Lady of Good Counsel of the Sisters, Servants of Mary of Sorrows",,,,,,,
4945,"Madonna del Cenacolo","Piazza Madonna del Cenacolo 15",,,"Mid 20th century",,,,"Blessed Virgin Mary","Roman Catholic","Our Lady of the Cenacle",,,,,,,
3581,"Madonna del Lavoro","Via Francesco Scaduto 23",,,"1930's",,,,"Blessed Virgin Mary","Roman Catholic","Our Lady of Work",,,,,,,
5036,"Madonna del Rosario a Casetta Mattei","Via dei Malabaila 1",,,"20th century",,,,"Blessed Virgin Mary (Our Lady of the Rosary)","Roman Catholic","Our Lady of the Rosary at Casetta Mattei",,,,,,,
5027,"Madonna del Rosario a Selva Nera","Largo Ines Bedeschi",,,"Late 20th century",,,,"Blessed Virgin Mary","Roman Catholic","Our Lady of the Rosary at Black Wood",,,,,,,
4654,"Madonna del Rosario a Via Laurentina","Via di Vallerano",,,"20th century",,,,"Blessed Virgin Mary (Our Lady of the Rosary)","Roman Catholic","Our Lady of the Rosary at the Radio Centre",,,,,,,
3584,"Madonna della Consolazione degli Agostiniani Recolletti","Viale dell'Astronomia 27",,,"20th century",,,,"Blessed Virgin Mary (Our Lady of Consolation)","Roman Catholic","Our Lady of Consolation of the Augustinian Recollects",,,,,,,
3585,"Madonna della Fiducia in Laterano","Piazza di San Giovanni in Laterano 4",,,"20th century",,,,"Blessed Virgin Mary","Roman Catholic","Our Lady of Trust at the Lateran",,,,,,,
4926,"Madonna della Strada","Via Paolo Ferrari 69",,,"20th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary of the Road",,,,,,,
3587,"Madonna delle Azalee","Via delle Azalee 148",,,"Mid 20th century",,,,"Blessed Virgin Mary","Roman Catholic","Our Lady of the Azaleas",,,,,,,
4985,"Madonna delle Grazie a Vigna Mangani",,,,,,,,"Blessed Virgin Mary (Our Lady of Graces)","Roman Catholic","Our Lady of Graces at the Mangani Vineyard",,,,,,,
3583,"Madonna dell’Orto a Porta Tiburtina","Viale di Porta Tiburtina 14",,,"20th century",,,,"Blessed Virgin Mary","Roman Catholic","Our Lady of the Garden at the Tiburtina Gate",,,,,,,
3416,"Madonna di Fatima alla Massimilla","Via Nicola Garrone 44",,,1979,,,,"Blessed Virgin Mary (Our Lady of Fatima)","Roman Catholic","Our Lady of Fatima at Massimilla",,,,,,,
3588,"Madonna di Fatima delle Suore Catechiste del Sacro Cuore","Via Giuseppe Cerbara 40",,,"20th century",,,,"Blessed Virgin Mary (Our Lady of Fatima)","Roman Catholic","Our Lady of Fatima of the Catechetical Sisters of the Sacred Heart",,,,,,,
4649,"Madonna di Guadalupe e San Francesco di Sales","Via Galla Placidia 63",,,1940,,,,"Blessed Virgin Mary St Francis de Sales","Roman Catholic","Our Lady of Guadalupe and St Francis of Sales",,,,,,,
4635,"Madonnella di San Marco","Palazzo Venezia, Piazza Venezia",,,"1455 (palazzo)",,,,"Blessed Virgin Mary","Roman Catholic","Little Madonna of St Mark",,,,,,,
3628,"Mysterium Fidei","Viale Tito Livio 24",,,1971,,,,"Holy Faith","Roman Catholic","Mystery of Faith",,,,,,,
3492,"Natività di Maria Santissima a Selva Candida","Via di Selva Candida 671",,,"Mid C20th century",,,,"Blessed Virgin Mary (Our Lady's Birthday)","Roman Catholic","Birthday of Holy Mary at the White Wood",,,,,,,
3491,"Natività di Maria a Bravetta","Via di Bravetta 633",,,2000,,,,"Blessed Virgin Mary (Our Lady's Birthday)","Roman Catholic","Birthday of Mary at Bravetta",,,,,,,
